	markdown_path	ds	markdown_snippet	snippet_type
22	agenda_markdowns/2023_06_07_HESS_agenda.md	2023-06-07	"Full Liquor, Wine, Beer & Cider:

- a. [385 Flatbush](https://goo.gl/maps/tMYiQRPp6tHA4Rng6) / Brooklyn Paramount Theater

  [public documents](https://drive.google.com/file/d/1EFe2pZqiranKzPQFqvrV2TQ3H-Eb6-Lh/view?usp=share_link)

- b. [455 Myrtle](https://goo.gl/maps/XL5ZiM63mPb31xXS7) / Venerdi Inc

  [public documents](https://drive.google.com/file/d/1JhgCyJEaIwwJYcG-M6tb2mMhyoDwSGL4/view?usp=share_link)

- c. [14 Jay](https://goo.gl/maps/xxXaVRqr668Gv4BC8) / Hawkward LLC

  [public documents](https://drive.google.com/file/d/1tIGiuMaiVXh-51ZvGpI-JAGRkkBbMNYK/view?usp=share_link)

- d. [860 Fulton](https://goo.gl/maps/m1mjwZt3S5T9GEp96) / Belli

  [public documents](https://drive.google.com/file/d/1A3VOn6bsGq8DZWQPB_H5DBG6Xgd80ukF/view?usp=share_link)

- e. [65 Jay](https://goo.gl/maps/x9X8aEgeX2YwnRHLA) / Junsui

  [public documents](https://drive.google.com/file/d/1lpYybfcSFYEx1VTxta1vEZTPHF0XQaZW/view?usp=share_link)

- f. [857 Atlantic](https://goo.gl/maps/AxAFbRHBiVGygZxq6) / Socialites Lounge

  [public documents](https://drive.google.com/file/d/1CDikTlvZ4eb5wD5VHK_67rcJfuuEYxRq/view?usp=share_link)

- g. [68 Jay](https://goo.gl/maps/v56ea1hJj7AsiUDZ6) / Love & Dough

  NONE SUBMITTED

- h. [11 Adams](https://goo.gl/maps/DAvsvnA7pBGRT6si9) / Kinjo

  NONE SUBMITTED"	Snippet
23	agenda_markdowns/2023_06_07_HESS_agenda.md	2023-06-07	"[Expansion Onto Municipal Property (EMP):](https://sla.ny.gov/instructions-continued-and-new-use-municipal-property)

- a. [154 Carlton](https://goo.gl/maps/yreY1UNkXnGn98oe9) / Taqueria Fort Greene

  [public documents](https://drive.google.com/file/d/1J1S9cPhrz6CbWt_7rVUBfOuz8VlLIyOJ/view?usp=share_link)

- b. [181 Front](https://goo.gl/maps/e9U8hGcGoEKwrTfa8) / Beepublic

  NONE SUBMITTED"	Snippet
24	agenda_markdowns/2023_09_06_HESS_agenda.md	2023-09-06	"PUBLIC MEETING NOTICE

Committee: [Health, Environment & Social Services Committee](https://cbbrooklyn.cityofnewyork.us/cb2/all-committees/health-environment-social-services/)

Leadership: Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary)

Members: Jannett Akent, Clara Alston, Emily Anadu, Akosua Cobb, Monique Cumberbatch, Jeffrey Ryan, Alejandro Varela

The next meeting of the Committee will be held as follows:"	Snippet
25	agenda_markdowns/2023_09_06_HESS_agenda.md	2023-09-06	"5. PUBLIC REVIEW: NY State Cannabis Retail License Applications  

   For Recommendation to the [NY State Office of Cannabis Management (OCM)](https://cannabis.ny.gov/)
   
   a. [288 Flushing](https://goo.gl/maps/meCX8GYKPdTaKHit5)  
   [Puro Vita Enterprises Inc](https://drive.google.com/file/d/1mKoh9MQbKqUmNE417qXOC8Dt0nP3REyZ/view?usp=drive_link)  
   b. [154 Vanderbilt](https://goo.gl/maps/8zEhcAKMWkwEL7SD7)  
   [Are We Good Enterprises Inc](https://drive.google.com/file/d/1f4LBn-dY8V2CUiph75iojV6vl0MT8L5Z/view?usp=drive_link)  
   c. [436 Albee Sq W](https://goo.gl/maps/UnryY2H32sDDQ2Yy6)  
   [YMRM Dispensary LLC](https://drive.google.com/file/d/1r4cSnTSCTJjW1579DK8Mx8C7BbAiELjR/view?usp=drive_link)"	Snippet
26	agenda_markdowns/2023_09_06_HESS_agenda.md	2023-09-06	"6. PUBLIC REVIEW: NY State Liquor License Applications  

   For Recommendation to the [NY State Liquor Authority (SLA)](https://sla.ny.gov/)

|     | Location                                                  | Applicant                                                                                                    | Status   |
|-----|-----------------------------------------------------------|--------------------------------------------------------------------------------------------------------------|----------|
| a.  | [138 Montague](https://goo.gl/maps/K9PJQbCNFNvPvZ5R9)    | [Meg Hospitality](https://drive.google.com/file/d/1_4FaftDWW3buEKrJd2PAfITf__ylKC8l/view?usp=drive_link)     | B&C      |
| b.  | [138 Willoughby](https://goo.gl/maps/mAgqhayWagcSQCKk6)  | [DIG CityPoint](https://drive.google.com/file/d/1U-7O8xxRVxXNMEElsx_-bgTRh3Lu2EXw/view?usp=drive_link)       | WBC      |
| c.  | [310 Schermerhorn](https://goo.gl/maps/XejrbURWdzLvRtTf9)| [Wonder](https://drive.google.com/file/d/1u0aqliHYC44CWLeN75oZ02n8zwjKnW9H/view?usp=drive_link)             | WBC      |
| d.  | [257 Water](https://goo.gl/maps/1Bea5CqtAXLRRrx18)       | [Padel Haus](https://drive.google.com/file/d/1CH4vBz9KBQ-X39NYJ2eau-XLngW9iW88/view?usp=drive_link)          | WBC      |
| e.  | [75 Hoyt](https://goo.gl/maps/ow3Bu4L5hLd142G3A)         | [Cuban Shack](https://drive.google.com/file/d/18CsGrJrjPBBibi8vF0YV9VS8DPHJpHxG/view?usp=drive_link)         | WBC      |
| f.  | [747 Fulton](https://goo.gl/maps/V8QAgoLt2tgFBok9A)      | [Charoen Thong Group LLC](https://drive.google.com/file/d/1yMWdi8MopeBy0TBascTbyaXXznNZjF8p/view?usp=drive_link) | WBC      |
| g.  | [138 Smith](https://goo.gl/maps/vjZJ2nRzeH2NBGVt8)       | [Ruta Oaxaca](https://drive.google.com/file/d/1kcrN5a4oWbWhbXe_loFwQW_dCEMpltGf/view?usp=drive_link)         | LWBC     |
| h.  | [983 Fulton](https://goo.gl/maps/6i5C5PqknTJhCM4i8)      | [Casanara](https://drive.google.com/file/d/1kJAKmJd8Q2JjGYoeQkhFyFP_1T_j1vUj/view?usp=drive_link)            | LWBC     |
| i.  | [87 Lafayette](https://goo.gl/maps/yc2Db6Bq6rx7CpSC7)    | [Ikigai](https://drive.google.com/file/d/1YlSlEV1It1D4emv8vJ-KdNyuAxk65eR8/view?usp=drive_link)              | LWBC     |
| j.  | [55 Water](https://goo.gl/maps/qSwVsKG2iLqEjX819)        | [ABC Kitchen](https://drive.google.com/file/d/1AYS4xpQwuC10UUrPCjglu26wLKRipFBC/view?usp=drive_link)         | LWBC     |
| k.  | [723 Fulton](https://goo.gl/maps/Gt2oSkxcDKJmz5DXA)      | [Sukh Thai](https://drive.google.com/file/d/1mrsMwobDdu6kF-6V3baS_pWVDrcwv6x8/view?usp=drive_link)           | LWBC     |
| l.  | [499 Myrtle](https://goo.gl/maps/TvLRoMpDpXKQWycr9)      | [Casa Nono](https://drive.google.com/file/d/19ib1l5CfCHI3Hbhnfre89wt5d-ePxbBs/view?usp=drive_link)           | LWBC     |
| m.  | [503 Myrtle](https://goo.gl/maps/9Hsdmma1jL7aygz37)      | Somethin' on Myrtle                                                                                          | LWBC     |
| n.  | [181 Front](https://goo.gl/maps/e9U8hGcGoEKwrTfa8)       | [Beepublic](https://drive.google.com/file/d/13-2YBXOfNzx0TyWGc7b_8Z1MKs2QOJp3/view?usp=drive_link)           | OPS      |
| o.  | [9 Old Fulton](https://goo.gl/maps/XS3C91PezrCk6oUQ6)    | [Birbante](https://drive.google.com/file/d/181a5mzNhwhQKOj6BGomDD9Q26Iremyu3/view?usp=drive_link)            | CLASS    |
| p.  | [491 Atlantic](https://goo.gl/maps/xQad5ysbvKeU5nBU7)    | [El Zason](https://drive.google.com/file/d/1pEko3qWwLfOl92SPVP__9GyFNif30JVU/view?usp=drive_link)            | CLASS    |"	Snippet
27	agenda_markdowns/2023_09_06_HESS_agenda.md	2023-09-06	"No District Questionnaire Submitted:

|     | Location                                                | Applicant                           | Status    |
|-----|---------------------------------------------------------|-------------------------------------|-----------|
| q.  | [177 Atlantic](https://goo.gl/maps/iMHSAFbsXqwaZfXi7)   | L and F Restaurant Group            | WBC - [partial](https://drive.google.com/file/d/13rg-kaJWzywKrWUKoGmteu6XLITXmWX2/view?usp=drive_link) |
| r.  | [306 Gold](https://goo.gl/maps/3RAQhNtdYLaBXm5m7)       | Moon Wok, Inc.                      | WBC       |
| s.  | [210 Livingston](https://goo.gl/maps/tpJZaC1sxPa8Ev9n7) | River Wilde LLC                     | LWBC      |"	Snippet
28	agenda_markdowns/2023_09_06_HESS_agenda.md	2023-09-06	"Applications Withdrawn; No Review:

- t. 121 Bridge Pk Dr
  Pier 6 Cafe Inc
  Transfer
- u. 147 Smith
  Bergen Smith Bottle Shop
- v. 625 Atlantic
  Buds 2 Roses Cafe"	Snippet
29	agenda_markdowns/2023_10_04_HESS_agenda.md	2023-10-04	"CITY OF NEW YORK Brooklyn Community Board No. 2

Lenue H. Singletary; III Chairperson

<!-- image -->

Antonio Reynoso 19th Borough President of Brooklyn

<!-- image -->"	Snippet
30	agenda_markdowns/2023_10_04_HESS_agenda.md	2023-10-04	"[Health, Environment & Social Services Committee](https://cbbrooklyn.cityofnewyork.us/cb2/all-committees/health-environment-social-services/)

Leadership:

Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary)

Members:

Jannett Akent, Clara Alston, Emily Anadu, Akosua Cobb,

Monique Cumberbatch, Jeffrey Ryan, Alejandro Varela

The next meeting of the Committee will be held as follows:"	Snippet
31	agenda_markdowns/2023_10_04_HESS_agenda.md	2023-10-04	"6. PUBLIC REVIEW: NY State Cannabis Retail License Applications

   For Review & Comment to the [NY State Office of Cannabis Management (OCM)](https://cannabis.ny.gov/)

   a. [332 Myrtle](https://maps.app.goo.gl/Y1YosJQN4r9zkAkC7)  
   DLD DH, Inc. (DBA Devil's Harvest)"	Snippet
32	agenda_markdowns/2023_10_04_HESS_agenda.md	2023-10-04	"7. PUBLIC REVIEW: NY State Liquor License Applications

   For Review & Recommendation to the [NY State Liquor Authority (SLA)](https://sla.ny.gov/)

   a. [68 Jay](https://goo.gl/maps/1Wem4tG34purugyM9)  
   [Love & Dough](https://drive.google.com/file/d/1huFe0GCnmI2XR4gStYBZFQXDcANtRNNN/view?usp=drive_link)

   Recommended for [Automatic Stipulations](https://drive.google.com/file/d/15XWtYOE42A_s5c_Sps8HtFyCADqzc1z_/view?usp=drive_link)

   b. [229 Dekalb](https://goo.gl/maps/rNq1RXsV71BAHLKu6)  
   Joy Hospitality  
   [No Questionnaire Submitted](https://cbbrooklyn.cityofnewyork.us/cb2/applicants/state-liquor-licenses/)

   c. [45 Willoughby](https://goo.gl/maps/9r6byAHqM3v4MqbJ8)  
   Rhodora Wine Bar  
   [No Questionnaire Submitted](https://cbbrooklyn.cityofnewyork.us/cb2/applicants/state-liquor-licenses/)

   [Automatic Waiver](https://drive.google.com/file/d/15XWtYOE42A_s5c_Sps8HtFyCADqzc1z_/view?usp=drive_link) Issued by District Office

   d. [141 Flushing](https://goo.gl/maps/Dunroi5S2Z8kmeLf8)
   
   [Rustik Tavern](https://drive.google.com/file/d/1o_CGVX6EMG92RIjDE26V1dk8QMmFiUP-/view?usp=drive_link)  
   Umbrella Operator: BNY

   e. [63 Flushing](https://goo.gl/maps/Mx99a2e48qmAhzLT8)  
   HNY Ferry II LLC  
   Umbrella Operator: BNY

   f. [139 Flatbush](https://maps.app.goo.gl/vMJ5Esb1K5p6J2jk7)  
   Applebee's  
   Umbrella Operator: Atlantic Terminal"	Snippet
33	agenda_markdowns/2023_11_01_HESS_agenda.md	2023-11-01	"CITY OF NEW YORK Brooklyn Community Board No. 2

Lenue H. Singletary, III Chairperson

Eric L. Adams 110th Mayor of New York City Antonio Reynoso 19th Borough President of Brooklyn"	Snippet
34	agenda_markdowns/2023_11_01_HESS_agenda.md	2023-11-01	"[Health, Environment & Social Services Committee](https://cbbrooklyn.cityofnewyork.us/cb2/all-committees/health-environment-social-services/)

Leadership:

Brandon Smith (Chair), Nicole McKnight (Vice Chair), Jessica Thurston (Secretary)

Members:

Jannett Akent, Clara Alston, Emily Anadu, Akosua Cobb,

Monique Cumberbatch, Jeffrey Ryan, Alejandro Varela

The next meeting of the Committee will be held as follows:"	Snippet
35	agenda_markdowns/2023_11_01_HESS_agenda.md	2023-11-01	"5. PRESENTATION and PUBLIC Q&A: Healthy Start Brooklyn (HSB) [slides](https://drive.google.com/file/d/1ez-pmaiAM9Ah6P5brTDKa7ZODuQu0n7x/view?usp=drive_link)
   
Informational; no Board Action required

Selena Brazley, LMSW, Behavioral & Mental Health Coordinator (NYC DOHMH / HSB)"	Snippet
36	agenda_markdowns/2023_11_01_HESS_agenda.md	2023-11-01	"6. PUBLIC REVIEW: NY State Liquor License Applications

For Review & Recommendation to the [NY State Liquor Authority (SLA)](https://sla.ny.gov/)

a. [25 Columbia Hts](https://maps.app.goo.gl/Lrji2bQTLrn8XaKJ6)

[City Vineyard LLC](https://drive.google.com/file/d/1yqHhrTjpVwrnqwaARYnezcZBblJ__OBP/view?usp=drive_link)

Recommended for [Automatic Stipulations](https://drive.google.com/file/d/15XWtYOE42A_s5c_Sps8HtFyCADqzc1z_/view?usp=drive_link)

b. [222-226 Greene Ave](https://maps.app.goo.gl/6TVh2weV8FjbAPRN7) Taylormade

No Response to Outreach

[Automatic Waiver](https://drive.google.com/file/d/15XWtYOE42A_s5c_Sps8HtFyCADqzc1z_/view?usp=drive_link) Issued by District Office

c. [1013 Fulton](https://maps.app.goo.gl/nzBqYMgKRTn1GL2V9)

[Maya Congee](https://drive.google.com/file/d/1b2He2SDB8XEqjuzgh2EgJjKvA9zeSwWs/view?usp=drive_link)

Early Closure; 10pm Daily"	Snippet
37	agenda_markdowns/2023_11_01_HESS_agenda.md	2023-11-01	"7. PUBLIC REVIEW: NY State Cannabis Retail License Applications

For Review & Comment to the [NY State Office of Cannabis Management (OCM)](https://cannabis.ny.gov/)

a. [118-122 Flatbush](https://maps.app.goo.gl/pTYHXLq4RcpPwcAC6)

GMDSS LLC. ('The Travel Agency')

b. [453 Fulton](https://maps.app.goo.gl/kXsqKoy6fX7ENoQ76)

[Ramon Reyes LLC](https://drive.google.com/file/d/1IsbJlT3h8DocKLtx5A2pH-9nRyJYvUXO/view?usp=drive_link)

c. [292 Atlantic](https://maps.app.goo.gl/LYMQBPmFyjvz5zg18)

[Astro Management](https://drive.google.com/file/d/1prkV1EiFCyLLTWcWD4J1fA6UIK0ec7Jo/view?usp=drive_link)

d. [530 Fulton](https://maps.app.goo.gl/3Ce6tyWPqk9WPk7g6)

[Cassandra Taylor](https://drive.google.com/file/d/1gsa1Vsg1-g3GSaKNrAXLU2yyfwBzcYqh/view?usp=drive_link)

e. [48 Pearl](https://maps.app.goo.gl/epJYy8SRtk3o4XSm9)

[Plantbase](https://drive.google.com/file/d/1lzV4IipcYFTHdlCZiCav1tEIu5bvn_kM/view?usp=drive_link)

f. [68 Jay (147 Front)](https://maps.app.goo.gl/422VxTkoMnUcZZWj6)

The Brooklyn Bazaar No Response to Outreach

g. [961 Fulton](https://maps.app.goo.gl/yjmi3xYFPCApEySB9)

The Brooklyn Bazaar No Response to Outreach

h. [229 Dekalb](https://maps.app.goo.gl/DAqtKnH4rbi5STp66)

SoulMate No Response to Outreach

i. [340 Park](https://maps.app.goo.gl/qvfnXwDHNWkXtshq9)

Weed Nerds LLC No Response to Outreach

j. [314 Livingston](https://maps.app.goo.gl/7YA9ZUHXn78x3LfM8)

Hop Stock & Barrel IV No Response to Outreach

k. [144 Smith](https://maps.app.goo.gl/2nPfLiHhXfe1aN8K9)

Mane Man No Response to Outreach"	Snippet
38	agenda_markdowns/2023_12_06_HESS_agenda.md	2023-12-06	"Lenue H. Singletary; III Chairperson

Antonio Reynoso 19th Borough President of Brooklyn

<!-- image -->"	Snippet
39	agenda_markdowns/2023_12_06_HESS_agenda.md	2023-12-06	"[Health, Environment & Social Services Committee](https://cbbrooklyn.cityofnewyork.us/cb2/all-committees/health-environment-social-services/)

Leadership:  
Brandon Smith (Chair), Nicole McKnight (Vice Chair),  
Jessica Thurston (Secretary), Emily Anadu (Secretary Pro Tempore)

Members:  
Jannett Akent, Clara Alston, Akosua Cobb, Monique Cumberbatch,  
Jeffrey Ryan, Alejandro Varela

The next meeting of the Committee will be held as follows:"	Snippet
40	agenda_markdowns/2023_12_06_HESS_agenda.md	2023-12-06	"5. PUBLIC PRESENTATION and Q&A: [Westhab](https://www.westhab.org/) - [62 Hanson](https://maps.app.goo.gl/x2NTDv4Zai6anyKb8) / [updates](https://drive.google.com/file/d/1Ss69ToVcua_Ct1Lf_miAXrRK_n5ccgrh/view?usp=drive_link)

Informational; no Board Action requested  
Valerie Smith, Vice President NYC Shelters (Westhab)  
Gilbert Soto, Assistant Vice President NYC Shelter Programs (Westhab)

<!-- image -->"	Snippet
